,heur,run,hmax,best_x,best_y,neval
0,SG_1,0,1,"[0.3506566248111227, 1.0, 10, 80, 10]",1.0,35.0
1,SG_1,1,1,"[0.4041569071798894, 1.0, 10, 80, 10]",1.0,26.0
2,SG_1,2,1,"[0.3857859026774797, 1.0, 10, 80, 10]",1.0,38.0
3,SG_1,3,1,"[1.4495605527788729, 1.0, 10, 80, 10]",0.8928571428571429,inf
4,SG_1,4,1,"[1.1093305908796474, 1.0, 10, 80, 10]",0.8928571428571429,inf
5,SG_1,5,1,"[0.4039592414984843, 1.0, 10, 80, 10]",1.0,21.0
6,SG_1,6,1,"[1.1564820018226647, 1.0, 10, 80, 10]",0.8928571428571429,inf
7,SG_1,7,1,"[0.8877191960627764, 1.0, 10, 80, 10]",0.8928571428571429,inf
8,SG_1,8,1,"[0.36514573501955816, 1.0, 10, 80, 10]",0.8928571428571429,inf
9,SG_1,9,1,"[0.4210282490599253, 1.0, 10, 80, 10]",0.8928571428571429,inf
10,SG_1,10,1,"[0.9107507081995414, 1.0, 10, 80, 10]",0.8928571428571429,inf
11,SG_1,11,1,"[0.7783871202810491, 1.0, 10, 80, 10]",0.8928571428571429,inf
12,SG_1,12,1,"[0.33400585274825945, 1.0, 10, 80, 10]",0.8928571428571429,inf
13,SG_1,13,1,"[0.3820262047486658, 1.0, 10, 80, 10]",1.0,45.0
14,SG_1,14,1,"[0.38570407726475864, 1.0, 10, 80, 10]",1.0,12.0
15,SG_1,15,1,"[0.928876104298566, 1.0, 10, 80, 10]",1.0,14.0
16,SG_1,16,1,"[2.1501089096632766, 1.0, 10, 80, 10]",0.625,inf
17,SG_1,17,1,"[0.4456629005806514, 1.0, 10, 80, 10]",0.8928571428571429,inf
18,SG_1,18,1,"[0.7544878902896626, 1.0, 10, 80, 10]",0.8928571428571429,inf
19,SG_1,19,1,"[0.5641867364237583, 1.0, 10, 80, 10]",0.8928571428571429,inf
20,SG_1,20,1,"[1.1057200026772893, 1.0, 10, 80, 10]",0.8928571428571429,inf
21,SG_1,21,1,"[1.1877764866119551, 1.0, 10, 80, 10]",0.7874015748031497,inf
22,SG_1,22,1,"[0.6092239904280841, 1.0, 10, 80, 10]",1.0,20.0
23,SG_1,23,1,"[0.3893065815074759, 1.0, 10, 80, 10]",1.0,16.0
24,SG_1,24,1,"[0.6246509919377763, 1.0, 10, 80, 10]",0.8928571428571429,inf
25,SG_1,25,1,"[0.9371776752937673, 1.0, 10, 80, 10]",1.0,29.0
26,SG_1,26,1,"[0.9642714161103565, 1.0, 10, 80, 10]",0.8079999999999999,inf
27,SG_1,27,1,"[0.42840498122714266, 1.0, 10, 80, 10]",1.0,21.0
28,SG_1,28,1,"[0.21127020345593284, 1.0, 10, 80, 10]",1.0,12.0
29,SG_1,29,1,"[0.3943668484156193, 1.0, 10, 80, 10]",1.0,47.0
30,SG_1,30,1,"[1.1511377901401603, 1.0, 10, 80, 10]",1.0,24.0
31,SG_1,31,1,"[0.9587629245328988, 1.0, 10, 80, 10]",0.8079999999999999,inf
32,SG_1,32,1,"[0.38096904640714424, 1.0, 10, 80, 10]",1.0,14.0
33,SG_1,33,1,"[0.9614279395166654, 1.0, 10, 80, 10]",1.0,6.0
34,SG_1,34,1,"[1.118677205446092, 1.0, 10, 80, 10]",1.0,38.0
35,SG_1,35,1,"[0.3881164832429649, 1.0, 10, 80, 10]",1.0,41.0
36,SG_1,36,1,"[0.6289066199079691, 1.0, 10, 80, 10]",1.0,1.0
37,SG_1,37,1,"[0.49470872516081243, 1.0, 10, 80, 10]",0.8928571428571429,inf
38,SG_1,38,1,"[0.27624106944906757, 1.0, 10, 80, 10]",1.0,17.0
39,SG_1,39,1,"[0.3749012843036059, 1.0, 10, 80, 10]",1.0,28.0
40,SG_1,40,1,"[1.7481538741474631, 1.0, 10, 80, 10]",0.813953488372093,inf
41,SG_1,41,1,"[0.2913018738165887, 1.0, 10, 80, 10]",1.0,28.0
42,SG_1,42,1,"[0.5308199359828274, 1.0, 10, 80, 10]",0.813953488372093,inf
43,SG_1,43,1,"[0.7348653561879632, 1.0, 10, 80, 10]",0.7976190476190477,inf
44,SG_1,44,1,"[0.564802649026392, 1.0, 10, 80, 10]",0.8928571428571429,inf
45,SG_1,45,1,"[0.3055847534178482, 1.0, 10, 80, 10]",0.8928571428571429,inf
46,SG_1,46,1,"[0.363777012739678, 1.0, 10, 80, 10]",0.8928571428571429,inf
47,SG_1,47,1,"[1.0648036596146633, 1.0, 10, 80, 10]",0.7874015748031497,inf
48,SG_1,48,1,"[0.421698550111985, 1.0, 10, 80, 10]",1.0,11.0
49,SG_1,49,1,"[1.1463885247761687, 1.0, 10, 80, 10]",0.8928571428571429,inf
