,heur,run,hmax,best_x,best_y,neval
0,SG_RD_1,0,1,"[0.5778509474000844, 1.0, 10, 80, 10]",1.0,31.0
1,SG_RD_1,1,1,"[0.42842608781265623, 1.0, 10, 80, 10]",1.0,16.0
2,SG_RD_1,2,1,"[0.38058470052718896, 1.0, 10, 80, 10]",0.8928571428571429,inf
3,SG_RD_1,3,1,"[0.31303819574586855, 1.0, 10, 80, 10]",1.0,18.0
4,SG_RD_1,4,1,"[0.30196101143461673, 1.0, 10, 80, 10]",0.8079999999999999,inf
5,SG_RD_1,5,1,"[0.3880784494581797, 1.0, 10, 80, 10]",1.0,46.0
6,SG_RD_1,6,1,"[0.36028235946043985, 1.0, 10, 80, 10]",0.813953488372093,inf
7,SG_RD_1,7,1,"[0.5095525367689899, 1.0, 10, 80, 10]",1.0,20.0
8,SG_RD_1,8,1,"[0.3778097471985049, 1.0, 10, 80, 10]",0.8928571428571429,inf
9,SG_RD_1,9,1,"[0.5727337422919323, 1.0, 10, 80, 10]",1.0,49.0
10,SG_RD_1,10,1,"[0.5268738034646399, 1.0, 10, 80, 10]",0.8928571428571429,inf
11,SG_RD_1,11,1,"[1.134436329918128, 1.0, 10, 80, 10]",1.0,16.0
12,SG_RD_1,12,1,"[0.38090709445192683, 1.0, 10, 80, 10]",0.8928571428571429,inf
13,SG_RD_1,13,1,"[1.1455657351307909, 1.0, 10, 80, 10]",1.0,34.0
14,SG_RD_1,14,1,"[0.35356401005471794, 1.0, 10, 80, 10]",1.0,25.0
15,SG_RD_1,15,1,"[0.4606212802895131, 1.0, 10, 80, 10]",1.0,18.0
16,SG_RD_1,16,1,"[0.36705353623037285, 1.0, 10, 80, 10]",1.0,24.0
17,SG_RD_1,17,1,"[0.5392644660074906, 1.0, 10, 80, 10]",1.0,16.0
18,SG_RD_1,18,1,"[0.3791544457776066, 1.0, 10, 80, 10]",0.8928571428571429,inf
19,SG_RD_1,19,1,"[0.5317280954659873, 1.0, 10, 80, 10]",0.7976190476190477,inf
20,SG_RD_1,20,1,"[0.35306167122961085, 1.0, 10, 80, 10]",1.0,1.0
21,SG_RD_1,21,1,"[0.5414490780547676, 1.0, 10, 80, 10]",0.8928571428571429,inf
22,SG_RD_1,22,1,"[0.5118112669234489, 1.0, 10, 80, 10]",1.0,18.0
23,SG_RD_1,23,1,"[0.5905769669303069, 1.0, 10, 80, 10]",1.0,4.0
24,SG_RD_1,24,1,"[0.3796199839653469, 1.0, 10, 80, 10]",1.0,50.0
25,SG_RD_1,25,1,"[0.5217057204684505, 1.0, 10, 80, 10]",1.0,8.0
26,SG_RD_1,26,1,"[0.49069244280848556, 1.0, 10, 80, 10]",0.8928571428571429,inf
27,SG_RD_1,27,1,"[0.3372853844904595, 1.0, 10, 80, 10]",1.0,17.0
28,SG_RD_1,28,1,"[0.48326606483750956, 1.0, 10, 80, 10]",0.8928571428571429,inf
29,SG_RD_1,29,1,"[0.5254822656599414, 1.0, 10, 80, 10]",1.0,19.0
30,SG_RD_1,30,1,"[1.103798391512108, 1.0, 10, 80, 10]",0.8079999999999999,inf
31,SG_RD_1,31,1,"[0.6092026683577432, 1.0, 10, 80, 10]",1.0,9.0
32,SG_RD_1,32,1,"[0.5956628922026295, 1.0, 10, 80, 10]",1.0,20.0
33,SG_RD_1,33,1,"[0.7101908913303032, 1.0, 10, 80, 10]",1.0,39.0
34,SG_RD_1,34,1,"[1.1691262533917772, 1.0, 10, 80, 10]",1.0,27.0
35,SG_RD_1,35,1,"[1.1416543911437351, 1.0, 10, 80, 10]",0.7976190476190477,inf
36,SG_RD_1,36,1,"[1.116670577522267, 1.0, 10, 80, 10]",0.8928571428571429,inf
37,SG_RD_1,37,1,"[0.46504051845232164, 1.0, 10, 80, 10]",0.8928571428571429,inf
38,SG_RD_1,38,1,"[0.513258376461716, 1.0, 10, 80, 10]",1.0,8.0
39,SG_RD_1,39,1,"[0.37173881791120644, 1.0, 10, 80, 10]",1.0,14.0
40,SG_RD_1,40,1,"[0.656831013227273, 1.0, 10, 80, 10]",1.0,9.0
41,SG_RD_1,41,1,"[0.45266699216358175, 1.0, 10, 80, 10]",1.0,22.0
42,SG_RD_1,42,1,"[0.4776782571692815, 1.0, 10, 80, 10]",0.8928571428571429,inf
43,SG_RD_1,43,1,"[0.49718054446580506, 1.0, 10, 80, 10]",1.0,12.0
44,SG_RD_1,44,1,"[0.2567935310861822, 1.0, 10, 80, 10]",0.813953488372093,inf
45,SG_RD_1,45,1,"[0.3408739293496432, 1.0, 10, 80, 10]",1.0,23.0
46,SG_RD_1,46,1,"[0.5647424426596426, 1.0, 10, 80, 10]",0.8928571428571429,inf
47,SG_RD_1,47,1,"[0.4933067265805433, 1.0, 10, 80, 10]",1.0,10.0
48,SG_RD_1,48,1,"[0.3477368946563981, 1.0, 10, 80, 10]",1.0,10.0
49,SG_RD_1,49,1,"[0.20399058950229643, 1.0, 10, 80, 10]",0.8928571428571429,inf
