,heur,run,hmax,best_x,best_y,neval
0,SG_RD_diam0.5,0,1,"[0.4140170901874285, 1.0, 10, 80, 10]",0.7874015748031497,inf
1,SG_RD_diam0.5,1,1,"[0.25729712295721097, 1.0, 10, 80, 10]",1.0,44.0
2,SG_RD_diam0.5,2,1,"[0.37245236974314455, 1.0, 10, 80, 10]",0.8928571428571429,inf
3,SG_RD_diam0.5,3,1,"[0.6572949310605165, 1.0, 10, 80, 10]",1.0,18.0
4,SG_RD_diam0.5,4,1,"[1.147957497249196, 1.0, 10, 80, 10]",1.0,18.0
5,SG_RD_diam0.5,5,1,"[0.6392839760774818, 1.0, 10, 80, 10]",0.8928571428571429,inf
6,SG_RD_diam0.5,6,1,"[0.317347122052583, 1.0, 10, 80, 10]",0.8928571428571429,inf
7,SG_RD_diam0.5,7,1,"[0.5897128695735718, 1.0, 10, 80, 10]",1.0,9.0
8,SG_RD_diam0.5,8,1,"[0.37777849839642164, 1.0, 10, 80, 10]",0.8928571428571429,inf
9,SG_RD_diam0.5,9,1,"[0.6230493113040971, 1.0, 10, 80, 10]",0.8928571428571429,inf
10,SG_RD_diam0.5,10,1,"[0.432642207135562, 1.0, 10, 80, 10]",1.0,22.0
11,SG_RD_diam0.5,11,1,"[0.3528424243987125, 1.0, 10, 80, 10]",1.0,12.0
12,SG_RD_diam0.5,12,1,"[0.42714726162998673, 1.0, 10, 80, 10]",1.0,50.0
13,SG_RD_diam0.5,13,1,"[0.3723511044263055, 1.0, 10, 80, 10]",0.8928571428571429,inf
14,SG_RD_diam0.5,14,1,"[0.2125629660822108, 1.0, 10, 80, 10]",0.8928571428571429,inf
15,SG_RD_diam0.5,15,1,"[0.2617295605763412, 1.0, 10, 80, 10]",1.0,39.0
16,SG_RD_diam0.5,16,1,"[0.5815809296004106, 1.0, 10, 80, 10]",1.0,18.0
17,SG_RD_diam0.5,17,1,"[0.40668138647307206, 1.0, 10, 80, 10]",1.0,49.0
18,SG_RD_diam0.5,18,1,"[0.5541287675527959, 1.0, 10, 80, 10]",0.8928571428571429,inf
19,SG_RD_diam0.5,19,1,"[1.507491111450943, 1.0, 10, 80, 10]",0.8928571428571429,inf
20,SG_RD_diam0.5,20,1,"[0.3967356973890004, 1.0, 10, 80, 10]",1.0,3.0
21,SG_RD_diam0.5,21,1,"[0.4201262250812787, 1.0, 10, 80, 10]",0.7874015748031497,inf
22,SG_RD_diam0.5,22,1,"[0.1633831825285954, 1.0, 10, 80, 10]",1.0,45.0
23,SG_RD_diam0.5,23,1,"[0.2809283477300082, 1.0, 10, 80, 10]",1.0,4.0
24,SG_RD_diam0.5,24,1,"[0.5584633950010844, 1.0, 10, 80, 10]",1.0,21.0
25,SG_RD_diam0.5,25,1,"[0.36192045309504817, 1.0, 10, 80, 10]",1.0,9.0
26,SG_RD_diam0.5,26,1,"[1.118680554337506, 1.0, 10, 80, 10]",1.0,22.0
27,SG_RD_diam0.5,27,1,"[0.5190857922389562, 1.0, 10, 80, 10]",0.7649253731343283,inf
28,SG_RD_diam0.5,28,1,"[0.16398357145640752, 1.0, 10, 80, 10]",0.8928571428571429,inf
29,SG_RD_diam0.5,29,1,"[0.60019817428606, 1.0, 10, 80, 10]",0.8928571428571429,inf
30,SG_RD_diam0.5,30,1,"[0.3843189916245171, 1.0, 10, 80, 10]",1.0,5.0
31,SG_RD_diam0.5,31,1,"[0.6510746454062795, 1.0, 10, 80, 10]",1.0,8.0
32,SG_RD_diam0.5,32,1,"[1.4657491354139736, 1.0, 10, 80, 10]",0.7649253731343283,inf
33,SG_RD_diam0.5,33,1,"[0.6680377803563227, 1.0, 10, 80, 10]",1.0,21.0
34,SG_RD_diam0.5,34,1,"[0.3257814663840479, 1.0, 10, 80, 10]",0.7115384615384616,inf
35,SG_RD_diam0.5,35,1,"[1.0529735944708851, 1.0, 10, 80, 10]",1.0,30.0
36,SG_RD_diam0.5,36,1,"[0.42770826402699935, 1.0, 10, 80, 10]",0.8928571428571429,inf
37,SG_RD_diam0.5,37,1,"[0.9725730863926731, 1.0, 10, 80, 10]",0.8928571428571429,inf
38,SG_RD_diam0.5,38,1,"[1.0084096453988116, 1.0, 10, 80, 10]",0.8928571428571429,inf
39,SG_RD_diam0.5,39,1,"[0.35754781205934627, 1.0, 10, 80, 10]",1.0,18.0
40,SG_RD_diam0.5,40,1,"[0.27451192791771106, 1.0, 10, 80, 10]",0.8928571428571429,inf
41,SG_RD_diam0.5,41,1,"[1.1463526216633593, 1.0, 10, 80, 10]",0.8928571428571429,inf
42,SG_RD_diam0.5,42,1,"[0.4872206297646797, 1.0, 10, 80, 10]",0.8928571428571429,inf
43,SG_RD_diam0.5,43,1,"[0.5071386939231481, 1.0, 10, 80, 10]",1.0,11.0
44,SG_RD_diam0.5,44,1,"[0.270178086854584, 1.0, 10, 80, 10]",1.0,29.0
45,SG_RD_diam0.5,45,1,"[0.6616160087666376, 1.0, 10, 80, 10]",1.0,49.0
46,SG_RD_diam0.5,46,1,"[0.37485615303391384, 1.0, 10, 80, 10]",1.0,11.0
47,SG_RD_diam0.5,47,1,"[0.6566633059060885, 1.0, 10, 80, 10]",1.0,7.0
48,SG_RD_diam0.5,48,1,"[0.8800639521029594, 1.0, 10, 80, 10]",0.8928571428571429,inf
49,SG_RD_diam0.5,49,1,"[0.6566215764806218, 1.0, 10, 80, 10]",1.0,8.0
