,heur,run,N,best_x,best_y,neval
0,GO_4,0,4,[ 3.81097309  3.08212996 21.         93.          6.        ],-0.468009248607649,inf
1,GO_4,1,4,[  1.63189693   3.02077662  11.         107.          21.        ],-0.5335339160828279,inf
