,heur,run,N,best_x,best_y,neval
0,GO_8,0,8,[  3.64936526   2.29705773  27.         126.           8.        ],-0.5124507866125024,inf
1,GO_8,1,8,[ 1.55960058  0.64936981 26.         73.         11.        ],-0.45412637566336017,inf
