,heur,run,hmax,best_x,best_y,neval
0,SG_5,0,5,"[0.5827365487745984, 1.0, 10, 80, 10]",0.8928571428571429,inf
1,SG_5,1,5,"[0.37486522814809664, 1.0, 10, 80, 10]",1.0,10.0
2,SG_5,2,5,"[0.5979292081729874, 1.0, 10, 80, 10]",1.0,29.0
3,SG_5,3,5,"[0.8613857758932495, 1.0, 10, 80, 10]",0.75,inf
4,SG_5,4,5,"[1.0926629892132529, 1.0, 10, 80, 10]",0.7649253731343283,inf
5,SG_5,5,5,"[0.22071415018860918, 1.0, 10, 80, 10]",0.7115384615384616,inf
6,SG_5,6,5,"[0.525230808252291, 1.0, 10, 80, 10]",0.8079999999999999,inf
7,SG_5,7,5,"[2.1014430320168644, 1.0, 10, 80, 10]",0.6456692913385828,inf
8,SG_5,8,5,"[0.27145368037380013, 1.0, 10, 80, 10]",0.8928571428571429,inf
9,SG_5,9,5,"[0.5171125983682145, 1.0, 10, 80, 10]",0.813953488372093,inf
10,SG_5,10,5,"[0.8905496361589504, 1.0, 10, 80, 10]",0.6931818181818182,inf
11,SG_5,11,5,"[0.7298819235479512, 1.0, 10, 80, 10]",0.7023809523809523,inf
12,SG_5,12,5,"[1.2780283066309948, 1.0, 10, 80, 10]",0.6514084507042254,inf
13,SG_5,13,5,"[1.096013758569971, 1.0, 10, 80, 10]",0.7976190476190477,inf
14,SG_5,14,5,"[0.5267166000837533, 1.0, 10, 80, 10]",0.8928571428571429,inf
15,SG_5,15,5,"[0.8311628703824279, 1.0, 10, 80, 10]",0.7976190476190477,inf
16,SG_5,16,5,"[0.36668561192453764, 1.0, 10, 80, 10]",1.0,1.0
17,SG_5,17,5,"[1.0588593588586508, 1.0, 10, 80, 10]",0.813953488372093,inf
18,SG_5,18,5,"[0.5462283208435701, 1.0, 10, 80, 10]",1.0,21.0
19,SG_5,19,5,"[0.3598263226051648, 1.0, 10, 80, 10]",0.813953488372093,inf
20,SG_5,20,5,"[2.4090041352354414, 1.0, 10, 80, 10]",0.8928571428571429,inf
21,SG_5,21,5,"[1.880991121192518, 1.0, 10, 80, 10]",0.627906976744186,inf
22,SG_5,22,5,"[0.37674913538049104, 1.0, 10, 80, 10]",1.0,14.0
23,SG_5,23,5,"[0.5291722926037625, 1.0, 10, 80, 10]",0.8928571428571429,inf
24,SG_5,24,5,"[1.1461544967110857, 1.0, 10, 80, 10]",0.8079999999999999,inf
25,SG_5,25,5,"[0.8331505773478218, 1.0, 10, 80, 10]",0.8928571428571429,inf
26,SG_5,26,5,"[3.3748819274273636, 1.0, 10, 80, 10]",0.63671875,inf
27,SG_5,27,5,"[0.409452817500255, 1.0, 10, 80, 10]",0.8928571428571429,inf
28,SG_5,28,5,"[0.5422575549877404, 1.0, 10, 80, 10]",0.77734375,inf
29,SG_5,29,5,"[1.7491636953469887, 1.0, 10, 80, 10]",0.813953488372093,inf
