,heur,run,N,best_x,best_y,neval
0,GO_8,0,8,[  3.64936526   2.29705773  27.         126.           8.        ],-0.5124507866125024,inf
1,GO_8,1,8,[ 1.55960058  0.64936981 26.         73.         11.        ],-0.45412637566336017,inf
2,GO_8,2,8,[  3.77446407   0.88837395  24.         107.          18.        ],-0.5326910313695333,inf
3,GO_8,3,8,[ 3.30994886  3.12499276 24.         92.         16.        ],-0.4848843764458493,inf
4,GO_8,4,8,[ 0.64076716  0.39349375 24.         75.         14.        ],-0.4517766286786696,inf
