,heur,run,N,best_x,best_y,neval
0,GO_4,0,4,[ 3.81097309  3.08212996 21.         93.          6.        ],-0.468009248607649,inf
1,GO_4,1,4,[  1.63189693   3.02077662  11.         107.          21.        ],-0.5335339160828279,inf
2,GO_4,2,4,[  2.36708648   2.90994519  15.         114.          26.        ],-0.4596964749299389,inf
3,GO_4,3,4,[  1.5164918    0.21030356  24.         118.          14.        ],-0.4856546343495614,inf
4,GO_4,4,4,[ 2.61471949  0.89891015 31.         42.         12.        ],-0.45749227736758263,inf
