,heur,run,N,best_x,best_y,neval
0,GO_2,0,2,[  2.19091121   2.59812034  27.         104.          13.        ],-0.4670135394243832,inf
1,GO_2,1,2,[  2.13449624   3.54877233  18.         113.          18.        ],-0.4928258331090389,inf
