,walk_length,num_walks,p,q,window,adj_rand
0,80.0,10.0,1.0,1.0,2.0,0.36657534021032784
1,80.0,10.0,1.0,1.0,4.0,0.36670030486801375
2,80.0,10.0,1.0,1.0,6.0,0.3867651607802957
3,80.0,10.0,1.0,1.0,8.0,0.3985873736759141
4,80.0,10.0,1.0,1.0,10.0,0.3724287492494876
5,80.0,10.0,1.0,1.0,12.0,0.43493264665939796
6,80.0,10.0,1.0,1.0,14.0,0.3830736631530011
7,80.0,10.0,1.0,1.0,16.0,0.422419011207115
8,80.0,10.0,1.0,1.0,18.0,0.4080269851036112
9,80.0,10.0,1.0,1.0,20.0,0.40757417479920144
