,walk_length,num_walks,p,q,window,adj_rand
0,80.0,10.0,1.0,0.25,10.0,0.47151731713036305
1,80.0,10.0,1.0,0.5,10.0,0.4231534920655136
2,80.0,10.0,1.0,1.0,10.0,0.3724287492494876
3,80.0,10.0,1.0,2.0,10.0,0.4185596868511762
4,80.0,10.0,1.0,4.0,10.0,0.3726036138708788
