,heur,run,hmax,best_x,best_y,neval
0,SG_50,0,50,"[1.2027831959127142, 1.0, 10, 80, 10]",0.7874015748031497,inf
1,SG_50,1,50,"[1.0913510128647363, 1.0, 10, 80, 10]",0.8928571428571429,inf
2,SG_50,2,50,"[0.8257694606355499, 1.0, 10, 80, 10]",0.7976190476190477,inf
3,SG_50,3,50,"[0.6318605455302073, 1.0, 10, 80, 10]",0.7976190476190477,inf
4,SG_50,4,50,"[2.264217368662051, 1.0, 10, 80, 10]",0.616,inf
5,SG_50,5,50,"[2.5666740638923478, 1.0, 10, 80, 10]",0.8928571428571429,inf
6,SG_50,6,50,"[0.21552441412723233, 1.0, 10, 80, 10]",1.0,19.0
7,SG_50,7,50,"[0.2711250427233285, 1.0, 10, 80, 10]",0.8928571428571429,inf
8,SG_50,8,50,"[0.5916289797081782, 1.0, 10, 80, 10]",0.813953488372093,inf
9,SG_50,9,50,"[0.6418639554126848, 1.0, 10, 80, 10]",0.8928571428571429,inf
10,SG_50,10,50,"[0.9073449789220835, 1.0, 10, 80, 10]",0.7023809523809523,inf
11,SG_50,11,50,"[2.2754558661238247, 1.0, 10, 80, 10]",0.7976190476190477,inf
12,SG_50,12,50,"[0.24082194130953205, 1.0, 10, 80, 10]",0.8928571428571429,inf
13,SG_50,13,50,"[1.0375368393239248, 1.0, 10, 80, 10]",0.8928571428571429,inf
14,SG_50,14,50,"[1.0990554860821202, 1.0, 10, 80, 10]",1.0,2.0
15,SG_50,15,50,"[1.7480843096987755, 1.0, 10, 80, 10]",0.813953488372093,inf
16,SG_50,16,50,"[0.35610427952044343, 1.0, 10, 80, 10]",0.8928571428571429,inf
17,SG_50,17,50,"[2.0330616068301177, 1.0, 10, 80, 10]",0.5833333333333334,inf
18,SG_50,18,50,"[2.264098250675491, 1.0, 10, 80, 10]",0.616,inf
19,SG_50,19,50,"[0.3373552072687871, 1.0, 10, 80, 10]",0.813953488372093,inf
20,SG_50,20,50,"[2.2764978769889113, 1.0, 10, 80, 10]",0.7976190476190477,inf
21,SG_50,21,50,"[0.20238285174731274, 1.0, 10, 80, 10]",0.8928571428571429,inf
22,SG_50,22,50,"[2.43542392917948, 1.0, 10, 80, 10]",0.6195652173913043,inf
23,SG_50,23,50,"[1.5030298557859898, 1.0, 10, 80, 10]",0.8928571428571429,inf
24,SG_50,24,50,"[2.142328006443019, 1.0, 10, 80, 10]",0.625,inf
25,SG_50,25,50,"[1.149834098613265, 1.0, 10, 80, 10]",0.7649253731343283,inf
26,SG_50,26,50,"[2.838298415254762, 1.0, 10, 80, 10]",0.5795454545454546,inf
27,SG_50,27,50,"[0.6610856873220023, 1.0, 10, 80, 10]",0.8928571428571429,inf
28,SG_50,28,50,"[1.6362265751063099, 1.0, 10, 80, 10]",0.585820895522388,inf
29,SG_50,29,50,"[0.7891369933965353, 1.0, 10, 80, 10]",0.6929133858267716,inf
