,heur,run,hmax,best_x,best_y,neval
0,SG_50,0,50,"[0.8327588580313505, 1.0, 10, 80, 10]",0.7375727435771859,inf
1,SG_50,1,50,"[3.1699980392348412, 1.0, 10, 80, 10]",0.7338454678038284,inf
2,SG_50,2,50,"[0.3726149737968356, 1.0, 10, 80, 10]",0.7434288537366895,inf
3,SG_50,3,50,"[2.1340932512464845, 1.0, 10, 80, 10]",0.7316128577006684,inf
4,SG_50,4,50,"[2.588344301060319, 1.0, 10, 80, 10]",0.7396517484149928,inf
5,SG_50,5,50,"[1.1216814447993508, 1.0, 10, 80, 10]",0.7366872757981028,inf
6,SG_50,6,50,"[2.9337242218584834, 1.0, 10, 80, 10]",0.738271670046233,inf
7,SG_50,7,50,"[1.7128081014184788, 1.0, 10, 80, 10]",0.7481535234687241,inf
8,SG_50,8,50,"[0.8115460475452023, 1.0, 10, 80, 10]",0.7342923026236324,inf
9,SG_50,9,50,"[0.6525510830882086, 1.0, 10, 80, 10]",0.7424849700471613,inf
