,heur,run,hmax,best_x,best_y,neval
0,SG_2,0,2,"[2.431595589492087, 1.0, 10, 80, 10]",0.7382624908857793,inf
1,SG_2,1,2,"[2.4924531982078184, 1.0, 10, 80, 10]",0.7378185875430497,inf
2,SG_2,2,2,"[1.6551508436964446, 1.0, 10, 80, 10]",0.7422809918428313,inf
3,SG_2,3,2,"[3.3882524586386467, 1.0, 10, 80, 10]",0.7454664818947053,inf
4,SG_2,4,2,"[1.797332336161554, 1.0, 10, 80, 10]",0.7418746266375251,inf
5,SG_2,5,2,"[3.387846986404627, 1.0, 10, 80, 10]",0.7459183563864912,inf
6,SG_2,6,2,"[0.28193417709357815, 1.0, 10, 80, 10]",0.743187369053371,inf
7,SG_2,7,2,"[0.6863475380626776, 1.0, 10, 80, 10]",0.7379474819794585,inf
8,SG_2,8,2,"[1.7707576674430134, 1.0, 10, 80, 10]",0.7425783337657887,inf
9,SG_2,9,2,"[0.32492243850019564, 1.0, 10, 80, 10]",0.7229677754813764,inf
