,heur,run,hmax,best_x,best_y,neval
0,SG_RD_2,0,2,"[0.9357860022635744, 1.0, 10, 80, 10]",1.0,39.0
1,SG_RD_2,1,2,"[0.337199026862403, 1.0, 10, 80, 10]",1.0,7.0
2,SG_RD_2,2,2,"[0.5392362243581017, 1.0, 10, 80, 10]",1.0,23.0
3,SG_RD_2,3,2,"[0.6861647148161758, 1.0, 10, 80, 10]",0.8928571428571429,inf
4,SG_RD_2,4,2,"[0.5924993851152016, 1.0, 10, 80, 10]",0.8928571428571429,inf
5,SG_RD_2,5,2,"[1.1752080175757929, 1.0, 10, 80, 10]",0.8928571428571429,inf
6,SG_RD_2,6,2,"[0.33963307299726164, 1.0, 10, 80, 10]",0.813953488372093,inf
7,SG_RD_2,7,2,"[1.1068276388906764, 1.0, 10, 80, 10]",1.0,10.0
8,SG_RD_2,8,2,"[0.29129789941362105, 1.0, 10, 80, 10]",1.0,9.0
9,SG_RD_2,9,2,"[1.1031491287699202, 1.0, 10, 80, 10]",0.8079999999999999,inf
10,SG_RD_2,10,2,"[0.3617023134123869, 1.0, 10, 80, 10]",0.8928571428571429,inf
11,SG_RD_2,11,2,"[0.374122290465682, 1.0, 10, 80, 10]",1.0,49.0
12,SG_RD_2,12,2,"[0.3857104371911757, 1.0, 10, 80, 10]",1.0,13.0
13,SG_RD_2,13,2,"[0.6569702164613127, 1.0, 10, 80, 10]",1.0,27.0
14,SG_RD_2,14,2,"[0.5554753081326367, 1.0, 10, 80, 10]",1.0,45.0
15,SG_RD_2,15,2,"[0.6316271464523955, 1.0, 10, 80, 10]",0.68359375,inf
16,SG_RD_2,16,2,"[0.8438692725663484, 1.0, 10, 80, 10]",0.7976190476190477,inf
17,SG_RD_2,17,2,"[1.0909934201622455, 1.0, 10, 80, 10]",0.813953488372093,inf
18,SG_RD_2,18,2,"[0.45440468759202446, 1.0, 10, 80, 10]",1.0,15.0
19,SG_RD_2,19,2,"[0.8626462983778675, 1.0, 10, 80, 10]",1.0,15.0
20,SG_RD_2,20,2,"[0.3630565590996544, 1.0, 10, 80, 10]",0.77734375,inf
21,SG_RD_2,21,2,"[0.5175652756907301, 1.0, 10, 80, 10]",0.75,inf
22,SG_RD_2,22,2,"[0.50714609159935, 1.0, 10, 80, 10]",1.0,28.0
23,SG_RD_2,23,2,"[1.1071404927798056, 1.0, 10, 80, 10]",1.0,4.0
24,SG_RD_2,24,2,"[0.3811789052281602, 1.0, 10, 80, 10]",1.0,29.0
25,SG_RD_2,25,2,"[0.5392227413804065, 1.0, 10, 80, 10]",1.0,34.0
26,SG_RD_2,26,2,"[0.17087312420604217, 1.0, 10, 80, 10]",0.7115384615384616,inf
27,SG_RD_2,27,2,"[0.6399895813771725, 1.0, 10, 80, 10]",0.8928571428571429,inf
28,SG_RD_2,28,2,"[1.1170206820710944, 1.0, 10, 80, 10]",1.0,37.0
29,SG_RD_2,29,2,"[0.6580629323510774, 1.0, 10, 80, 10]",0.8928571428571429,inf
30,SG_RD_2,30,2,"[1.1089905444765042, 1.0, 10, 80, 10]",0.7874015748031497,inf
31,SG_RD_2,31,2,"[0.7445458017215065, 1.0, 10, 80, 10]",0.7165354330708662,inf
32,SG_RD_2,32,2,"[0.361421203175575, 1.0, 10, 80, 10]",0.8928571428571429,inf
33,SG_RD_2,33,2,"[0.3617418438497908, 1.0, 10, 80, 10]",1.0,46.0
34,SG_RD_2,34,2,"[1.1344346130411478, 1.0, 10, 80, 10]",1.0,42.0
35,SG_RD_2,35,2,"[0.574521854230305, 1.0, 10, 80, 10]",1.0,32.0
36,SG_RD_2,36,2,"[0.2063822524842851, 1.0, 10, 80, 10]",0.8928571428571429,inf
37,SG_RD_2,37,2,"[0.3951435347137009, 1.0, 10, 80, 10]",1.0,30.0
38,SG_RD_2,38,2,"[0.4089537093156852, 1.0, 10, 80, 10]",0.8928571428571429,inf
39,SG_RD_2,39,2,"[1.0537452268533483, 1.0, 10, 80, 10]",1.0,45.0
40,SG_RD_2,40,2,"[0.9279859399515984, 1.0, 10, 80, 10]",1.0,19.0
41,SG_RD_2,41,2,"[0.3791037407558444, 1.0, 10, 80, 10]",0.8928571428571429,inf
42,SG_RD_2,42,2,"[1.86004489936489, 1.0, 10, 80, 10]",0.7649253731343283,inf
43,SG_RD_2,43,2,"[0.9353314460965194, 1.0, 10, 80, 10]",1.0,29.0
44,SG_RD_2,44,2,"[1.1069854674027382, 1.0, 10, 80, 10]",1.0,8.0
45,SG_RD_2,45,2,"[0.3109386001109047, 1.0, 10, 80, 10]",0.8079999999999999,inf
46,SG_RD_2,46,2,"[1.0535738784900852, 1.0, 10, 80, 10]",1.0,2.0
47,SG_RD_2,47,2,"[0.5727273764106622, 1.0, 10, 80, 10]",1.0,4.0
48,SG_RD_2,48,2,"[1.2047543988976144, 1.0, 10, 80, 10]",1.0,30.0
49,SG_RD_2,49,2,"[0.34131788261564777, 1.0, 10, 80, 10]",0.8079999999999999,inf
