,heur,run,hmax,best_x,best_y,neval
0,SG_10,0,10,"[1.1082720875963306, 1.0, 10, 80, 10]",0.7365918523916888,inf
1,SG_10,1,10,"[1.6977093198008713, 1.0, 10, 80, 10]",0.7372262318079036,inf
2,SG_10,2,10,"[0.8037524124188078, 1.0, 10, 80, 10]",0.7364846129972061,inf
3,SG_10,3,10,"[1.0498667191522375, 1.0, 10, 80, 10]",0.7423966899605563,inf
4,SG_10,4,10,"[4.09963246768776, 1.0, 10, 80, 10]",0.7354619096871922,inf
5,SG_10,5,10,"[0.7845589941691813, 1.0, 10, 80, 10]",0.7403403027443638,inf
6,SG_10,6,10,"[3.476639162720879, 1.0, 10, 80, 10]",0.7498708578807458,inf
7,SG_10,7,10,"[2.0844195772472904, 1.0, 10, 80, 10]",0.7369624162082301,inf
8,SG_10,8,10,"[1.368973839901647, 1.0, 10, 80, 10]",0.7399297327576105,inf
9,SG_10,9,10,"[1.879264850381246, 1.0, 10, 80, 10]",0.7450514004583231,inf
